科学家,句子编号,句子,情感得分
居里夫人,1397,"他也生自己 的气,责备自己照料斯可罗多夫斯基先生托付他的这个小东西 不够关切",-1.0
居里夫人,1398,"他不理会小姨的抗议,把她的外衣和帽子拿给她,叫她 带着下一个星期须用的书籍和笔记本,然后静默地、不满意地、不 高兴地把她带到拉维垒特路,他在门口就喊布罗妮雅.布罗妮雅接 着就向厨房跑去",-1.0
居里夫人,1422,"在索尔本,外国女子是很吃香的;这些 贫苦女子差不多都有天才,她们由很远的地方到龚古尔兄弟称做 学问的奶娘的大学来,很引起法国青年的同情",-1.0
居里夫人,1449,"然后她又去过一年学校生活,又可以 工作、学习、预备新考试,再瘦下去 帝 但是每次到了秋天,玛丽必然产生同样的忧虑:那里去筹 钱?怎样回到巴黎?四十卢布接着四十卢布,她的积蓄已经用完 了;而且她一想到她的父亲为了要帮助她,连小享受都放弃了,就 觉得十分惭愧",-0.3333
居里夫人,1450,"到1893年,情形似乎是全无希望,这个青年女子差 不多要放弃这次旅行了,这时忽然出现了一个奇迹",-1.0
居里夫人,1464,"请告诉父亲,我已经习惯了这种工作,不象从前那样觉 得疲倦,而且我也不想放弃它",-1.0
居里夫人,1483,"一个人若是年轻而且孤独,完全专心于学问,虽然不能自给,却 过着最充实的生活",-1.0
居里夫人,1485,"到后来,恋 爱,生男育女,作妻子和作母亲的忧虑,一种繁重的工作的复杂性, 将把这个幻想者重新送进实际生活",-1.0
居里夫人,1487,"她轻松地在另外一个世界里翱翔,永远认为那是唯一 的纯洁世界,唯一的真实世界! 在这样困苦的冒险中,决不可能每天都是极好的日子,常有意 料不到的事情突然发生,扰乱了一切安排,几乎象是无法补救,例 如:不能克制的疲乏,需要治疗的短期疾病",-1.0
居里夫人,1488,"此外还有别的不幸, 而且是很可怕的不幸仅有的一双底子有几个破洞的鞋子已经 破烂不堪,不得不买新鞋",-1.0
居里夫人,1498,"一个贫寒的青年女子因为初恋遭到了失望 和屈辱,便发誓永远不再恋爱;而一个斯拉夫女学生为知识方面的 抱负所激发,尤其容易决定放弃一般女子的义务、幸福和不幸,以 便从事自己认为适合的事业",-0.5
居里夫人,1504,"她的梦想萦绕在她心头,贫苦折磨着她,大量的工作使她过度 劳累;她不知道闲暇和闲暇的危险",-1.0
居里夫人,1513,"他翻弄着他那搁了许久的日记,重读旧日所写的话,字迹已经 褪色了,其中几个小小的字,充满了惋惜和莫名的忧伤,引起他的 注 意 : 有天才的妇女很少",-1.0
居里夫人,1517,"我们开始谈话,不久就很投缘;谈话的题目是 一些科学问题,我乐于征询他对这些问题的意见",-1.0
居里夫人,1523,"这个女学生对他诉说她目前的忧虑,, 福利堡,瑞士西部的一个州",-1.0
居里夫人,1551,"比埃尔 居里惊讶地听着玛丽谈她的爱国责任,不知所以地觉得 不满意",-1.0
居里夫人,1596,"总之,他有诗人和艺术家的敏感和想象力,也有他们的失望和 痛苦 1881年,他在日记中写追我将来会成为什么样的人? 我很少自己完全支配自己的时候,平常总有一部分生命在昏睡,我 似乎觉得我的头脑一天比一天迟钝",-1.0
居里夫人,1623,"现在你没有权利抛弃科学! 这几句平常关切的话,表露了比埃尔心里的深切焦虑",-1.0
居里夫人,1627,"嫁给一个法国人,永远离开自己的家,放弃爱国活动, 抛弃波兰,在斯可罗多夫斯卡小姐看来,这些事简直是一种可怕的 叛国行为",-1.0
居里夫人,1642,"您同我在一起不是要比较好些 么?我知道这个问题要使您生气,我也不愿意再对您说这个,而且 从各方面看来,我都觉得配不上您 我想请求您允许我在福利堡与您不期而遇,但是您只在那里 留一天,是不是呢?那一天您当然要和我们的朋友科瓦尔斯基在 一 起 了",-1.0
居里夫人,1657,"再 说,我们都必须谋生,因此就都是机器里的一个齿轮,等等 狂欢日:在四旬斋的第三个星期的星期四举行. 最痛苦的事,乃是我们不得不对我们周围社会的偏见让步,只 看我们的强弱,定让步的多少;倘若让得不够,我们会被压碎,倘若 让得太多,我们就太无价值,就会憎恶自己",-2.5
居里夫人,1660,"我力劝您在十月回到 巴黎,如果您今年不回来,我一定很痛苦;但是我劝您回来,并非出 于朋友的私心",-1.5
居里夫人,1663,"我相信有些问题需要普 遍解决才行,今日已经不能局部解决了;我还相信若是有人要从事 于无结果的工作,他可以作出许多有害的事来;我也相信这个世界 里没有正义,而最有力量的或最经济的制度一定占优势",-1.0
居里夫人,1664,"一个人 工作得筋疲力尽,同时还要过极不幸的生活,这是一件令人愤慨的 事,但是并不能因此就不存在",-1.0
居里夫人,1666,"您了解自私的方式真是令人惊异!我二十岁的时候遭到一件 大不幸,我尖掉一个我很爱的童年女友;在那可怕的情况下--我 没有勇气对您说这件事我日夜只是固执地想一个念头,试着 把折磨自己当做一种快乐",-0.3333
居里夫人,1668,"从那时候起, 我常自问,这种对生活的放弃是否只是一种用它来对付自己的手 法,以便取得忘却的权利? 在您那个地方,书信往来是否自由?我很怀疑,并且相信我们 将来在信函中最好不再高谈阔论,因为虽说纯粹是哲学性质的讨 论,还是可能被曲解,给您引来许多麻烦",-1.0
居里夫人,1670,"您忠实的朋友 比埃尔 居里 1894年9月17日,比埃尔 居里写给玛丽 斯可罗多夫斯卡的 信上说 : 您的信使我很不安,我觉得您在烦恼,打不定主意",-1.0
居里夫人,1680,"在这所阴暗而且有点郁闷的住房里,比埃尔重复提出他那柔 倩脉脉的要求,他的倔强并不下于玛丽,只是方式不同!他和他的 未来妻子有同样的信念,只是更加完整,更加纯洁,毫无混杂成分",-0.8
居里夫人,1699,"他在青年时候的热恋,遇到悲哀的结果,使他从此 退缩,躲避妇女,不愿意再谈恋爱",-1.0
居里夫人,1705,"我认为你按自己的心愿办是对的,任何一个公正的人都不能 责备你",-1.0
居里夫人,1708,"现在我 们必须做的事,只是要不顾一切障碍,尽力设法彼此时常见面",-1.0
居里夫人,1713,"我将与去 年我在华沙对你谈到的那个人结婚,从此不得不永居巴黎.我觉得 很难过,但是有什么办法呢?命运注定我们彼此很深地依恋着,注 定我们不能分开",-1.5
居里夫人,1733,"自从她降生以来,她没 有使我痛苦过",-1.0
居里夫人,1741,"他们独处于田野之夜的虚假 的沉寂中,时常有远处的犬吠、鸟的低鸣、猫的狂叫和地板的引人 注意的吱嘎声冲破这种沉寂. 他们想探查丛林或岩石时,就暂时中止自行车旅行,而去散一 次步",-1.0
居里夫人,1744,他更不喜欢通 常那种预先定好旅程的旅行,-1.0
居里夫人,1746,"早年和他哥哥一起远足 的情景,他还记得清清楚楚: 啊!在那里,在那仁慈的孤寂中,远离巴黎城内使我痛苦的 成千的讨厌的小事情,我度过了多么美好的时光不,我不后悔 在树林里过了几夜,不后悔独自过了几天",-0.3333
居里夫人,1754,"点,以方便走路;头上没有戴什么,穿一件白上衣,很清新,也很好 看,脚上穿一双粗鞋,腰间束了一条很合用可是不大雅致的皮带, 带子上的小口袋里藏了一把刀、一点钱和一块表 比埃尔并不回头看他的妻子,他继续把内心的思考高声讲出 来,并且谈到结晶学上的一种困难工作",-1.0
居里夫人,1768,"他想着研究上的大小困难,想着那使他劳心费神的结晶体成 长的奥秘",-1.0
居里夫人,1780,"法国人常是本能地不信任外国人,比埃尔却丝毫没有这种迹 象",-1.0
居里夫人,1783,"她很愿意,她已经很敬 爱她的公公和婆婆,斯可罗多夫斯基先生和海拉回华沙去之后,她 的公婆对她的慈爱,减轻了她远离祖国的痛苦",-1.0
居里夫人,1800,"这对新婚夫妇在十月搬到格拉西埃尔路二十四号去住,这所 住房很不舒适,唯一可爱之点,乃是由窗户望去,可以看见一座大 花园的树木",-1.0
居里夫人,1809,"若有讨厌 的人爬上五层楼,要到这个小巢来扰乱这对夫妇,走进这间四壁萧 然、只有一个书橱和一张白木桌的夫妻工作室,一定会很扫兴;桌 子一头是玛丽坐的椅子,另一头是比埃尔坐的椅子,桌子上是一些 物理学的专门书籍、一盏煤油灯、一把花,此外更无他物",-1.0
居里夫人,1814,"这就很好了,有这个数目,一对俭朴的夫妇尽可足用,而玛丽 又知道节省;困难的问题只是如何在二十四小时内作完一天的繁 重工作",-1.0
居里夫人,1837,"我很难过我不能参加海拉的婚礼,若是我们全家都不在华沙, 那么无论怎样困难,我也一定会筹措旅费前往",-1.25
居里夫人,1847,"玛丽后来写道:有一天,天气晴朗,我们辛苦地攀登了许久, 在清新的空气中,穿过奥布拉高原凉爽的绿草地;当时的情景, 留下了鲜明的记忆",-1.0
居里夫人,1850,"居里夫人愿意有个小孩,可是这样难受,不能照 旧不疲倦地在仪器前研究钢铁的磁化作用,真是使她烦恼",-1.0
居里夫人,1852,"奥佛尼,法国中南部旧区,有治疗疾病的泉水",-1.0
居里夫人,1859,"我的婆婆 一 直病着,因为所患是 一 种不治之症 (乳癌),我们都很沮丧",-1.5
居里夫人,1884,"电 报,一法郎十生丁.在疾病项下记着:医药和看护,七十一法 郎五十生工",-1.0
居里夫人,1885,"居里一家在九月中的总支出四百三十法郎四十 生丁是增加了,玛丽在四百三十法郎这个数目底下,画了两条 很粗的线,表示愤慨",-1.0
居里夫人,1890,"如果这 个孩子的体重能照常增加,我就继续喂下去;不然,我就要请个乳 母,虽然要多费钱而且会使我难过,也顾不得了:我不愿意为了世 界上任何事情而阻碍我的孩子的发育",-1.0
居里夫人,1902,"她有别的事要操心!她有实验室、有丈夫、有家、有女儿伊 雷娜长牙时的哭泣,患感冒,有一点不要紧的事故,时常扰乱这一 家的安宁,使这两个物理学家几夜忧虑,几夜失眠",-1.0
居里夫人,1903,"有时候玛丽会 担心骇怕,突然离开理化学校向蒙苏利公园跑去;乳母是不是把孩 子给弄丢了?没有她远远看见公园里指定的道路上的那辆小 车,那个妇人就在车旁,车里有个白色的东西",-1.0
居里夫人,1909,"她战胜 了大小阻碍,而从来没有想到,她所完成的事业需要无比的坚忍, 需要过人的勇气",-1.0
居里夫人,1921,"在讨论这个重大问题的时候,比埃尔的劝告很重要",-1.0
居里夫人,1925,"玛丽从童年时代起,就有探险家的好奇心和勇 气,这种本能,从前驱使她离开华沙到巴黎和索尔本来,驱使她放 弃德卢斯基家那个安乐住所,孤独地住在拉丁区",-1.0
居里夫人,1931,"亨利 柏克勒尔也注意同样的问题,他观察了一种稀有 金属 铀盐;但是没有得到他预测的现象,却观察到另外一种 完全不同并且不可解的现象:铀盐自发地放射一种性质不明的射 线,不必先受光的照射",-1.0
居里夫人,1944,"这样大胆地去从事一种冒险,进入一个未知 的领域,是令人兴奋的! 拳 剩下的问题只是要找个地方,使玛丽能进行试验,而困难就从 这里开始",-1.0
居里夫人,1957,"物理学上常有一种不可解的现象,经过几次研 究之后,却可以归入以前已知的定律,这么一来研究者也就立刻失 掉对它的兴趣!正如在写得不好的侦探小说中,我们在第三章就 知道,那个外表凶险、很象罪犯的妇人,实际只是资产阶级中一个 诚实的女子,过的是一种毫无秘密的生活,我们一定觉得失望,并 且立刻就不再读下去",-1.0
居里夫人,1993,"这两个姐妹并没有说什么 表示亲爱的话;然而一定是在一种充满了回忆的狂喜中重温了等 待的几年,重温了她们相互的牺牲,重温了她们学生时代度过的充 满了梦想和信心的艰苦生活",-1.0
居里夫人,2038,一件伤心的事扰乱了玛丽的工作热诚:德卢斯基夫妇快要离 开巴黎了,-1.0
居里夫人,2040,玛丽同布罗妮雅的分别十分悲哀,-1.8
居里夫人,2041,"她失掉了她的朋友和保护者,第一次感觉到远离祖国的痛苦",-1.0
居里夫人,2045,"伊雷娜长成了一个 大孩子,她吃东西很麻烦,除了牛奶木薯羹之外,差不多任何东西 都不肯按规定吃,连鸡蛋她也不喜欢",-1.25
居里夫人,2075,"这里有了三个使他们忧虑的问题: 如何才能得到足用的矿物? 在什么地方进行提炼? 用哪一笔钱支付这项工作所必需的费用? 藏有钋和镭的沥青铀矿是一种很贵重的矿物,在波希米 亚的圣约阿希姆斯塔尔矿炼制这种矿物,是为了提取玻璃工业 用的铀盐",-0.3333
居里夫人,2092,"拉瓦锡(17431794),法国化学家,在法国大革命期间,因政治问题被牵 涉,于1794年5月8日被处死刑",-1.0
居里夫人,2102,"比埃尔仍旧保持他一向的平静态度,但是 玛丽看见人们辛苦地把一些口袋往下卸的时候,按捺不住她的快 乐",-1.0
居里夫人,2105,"镭就藏在那里面,玛丽要从那里面提炼出镭来,这种象街上的 土一样没有生气的东西,即使她必须炼制一座山那样多,她也一定 要作到",-1.0
居里夫人,2107,"这是一种奇异的新的开始,这种艰苦而且微妙的 绪斯(18311914),奥地利地质学家",-1.0
居里夫人,2134,"但是镭要保持它的神秘性,丝毫不希望人类认识它",-1.0
居里夫人,2136,"最困难的, 不可能的,乃是离析这极小的含量,使它与它密切混合着的杂质分 离开来",-2.5
居里夫人,2147,"我们在实验室里只见很少的几个人,偶尔有几个物理学 家或化学家来,或是来看我们的实验,或是来请教比埃尔 居里某 些问题,他在物理学的许多部门的学问,是很出名的",-1.0
居里夫人,2156,"她所爱的人里,没有人能和她谈她的工作,没有人能了解 她的使命,没有人能明了她的忧虑和她的困难目标",-1.0
居里夫人,2198,"把那些放射性很强的溶液提纯,并 把它们分离结晶的阶段到了,现在应该有很洁净的地方,应该有 防寒、防热、防污极佳的仪器! 这个简陋的棚屋,到处通风,铁 屑和煤屑飞扬,混到小心提净的产物中去,使玛丽很失望",-1.5
居里夫人,2199,"这种事 情每天必有,费去她许多时间和精力,使她很伤心",-1.5
居里夫人,2201,"不过我们须注意,他不是想放弃研究镭和放射性,但是他很愿意暂 时放弃这项特定的工序:提炼纯镭",-1.0
居里夫人,2202,种种困难似乎无法克服,-1.0
居里夫人,2203,"他 们不能等将来在较好的条件下再继续这项工作么?他注重各种自 然现象的意义,甚于注意它们的具体现实状况;他看见玛丽用尽力 量所得的有限结果,觉得烦恼,劝她暂时休战",-1.0
居里夫人,2206,"她轻视疲倦,轻视困难,甚至于轻视她自己在知 识上的欠缺;这种欠缺使她的工作更为复杂",-1.0
居里夫人,2221,"玛丽在女儿那里多留了一会儿,在她回来的时候,他总是 用一句伤心的责备话迎接她: 你只想着这个孩子! 比埃尔慢慢地在屋子里走,玛丽坐下,在伊雷娜的新围裙折边 上缝几针",-1.0
居里夫人,2227,"那天他们工作得很辛苦,照道理这两个学者此刻应该休息 了",-1.5
居里夫人,2233,"镭不只有美丽的颜色,它 还自动发光!在这个黑暗的棚屋里没有柜子,这些零星的宝贝装 在极小的玻璃容器里,放在钉在墙上的板子或桌子上;它们那些略 带蓝色的荧光的轮廓闪耀着,悬在夜的黑暗中",-1.0
居里夫人,2244,"这两个大学者,为了想得到他们缺少的一年两三千法郎,作了 一些拙劣而且不幸的尝试,我很少听见象这样令人懊恼的事",-1.0
居里夫人,2255,"第一个使他 失败的原因,乃是他有天才;在人与人的竞争中,天才总会在别人 心里激起一种难以消除的隐痛",-1.0
居里夫人,2266,"每月有五百法郎收入,总还不算极端贫穷, 生活可以维持只是日子过得不好就是了",-1.0
居里夫人,2300,"居里先生和夫人低头看课本,出问题,选择要在课堂里做的实 验比埃尔此时担任两处教职,指导两组学生的实验工作",-1.0
居里夫人,2304,"浪费了多少精力!占去了多少做真正工作的时间!玛丽每星 期要到赛福尔去几次,拿着一个装满了批改过的作业的皮包,坐 一辆慢得叫人难过的电车,有时候要在路旁站着等半点钟",-1.0
居里夫人,2308,"子,他很失望,抑制住向人要东西的反感,想设法得到一个比较大 的地方,可是不成功",-1.25
居里夫人,2309,"玛丽后来写道:进行过类似奔走的人,都知道在经济上和行 政上遇到的那些困难,也记得为了要得到最小的好处必须写多少 呈文,进行多少次拜访和申请",-1.0
居里夫人,2310,比埃尔 居里因此很疲倦而且很 沮丧,-1.0
居里夫人,2351,"室既不能有,也就满足于在棚屋里进行实验;而他们在那个小木 板屋里度过的积极工作的时光,聊可安慰他们在其他方面遭到的 挫折",-1.0
居里夫人,2360,"她认为 自己是坚不可摧的,因为她已经用轻蔑疾病和随随便便的日常生 活,克服了她的亲属为她担心的结核病",-1.0
居里夫人,2372,"因为某 项研究工作须一气作成,你们当然可以晚吃一次;但是你们没有 权利把晚食养成习惯决不可象你们这样连续不断地把科学上 的忧虑时时刻刻与生活混在一起",-1.0
居里夫人,2375,"吃饭时不应该看书,也不应该谈到物理 学 比埃尔和玛丽对于劝告或责备总是天真地回答说:但是我们 有休息时间,我们夏天休假",-1.0
居里夫人,2409,"她时常暗 暗地责备自己不应该留在法国,这个老人原计划和她在一起度过 余年,而她使他失望了",-1.0
居里夫人,2410,"她在寂静中对着这个打开的棺木,低声自 责,直到她的哥哥和姐姐们勉强使这令人痛苦的一幕停止",-1.0
居里夫人,2428,"这一年有一些不幸的事发生,首先是怀孕,后来是早产,玛丽 对于这次失望觉得很悲哀",-1.1667
居里夫人,2429,"1903年8月20日,玛丽写给布罗妮雅的信上说: 这件变故使我很难过,使我没有勇气写信给任何人",-1.5
居里夫人,2431,"请你写信告诉我,你是否认为 这是我全身性疲劳所引起的,因为我不能不承认我没有爱惜自己 的精力",-1.0
居里夫人,2435,"玛丽写信给她的哥哥说:德卢斯基家的不幸,使我非常沮 丧",-1.0
居里夫人,2437,"如果,尽管照料周到,连这 么健康的孩子都会糟蹋了,还能指望保住别的孩子吗?怎么能够 把他们养大呢?我一看我的女儿,就不免恐惧得发抖;布罗妮雅的 悲哀也使我心碎",-1.0
居里夫人,2438,"这些哀痛已经使玛丽的生活罩上阴影,而偏偏又有一种更严 重的忧虑来破坏它:比埃尔病了",-1.0
居里夫人,2445,"玛丽想驳他的话,但是她不能掩饰她的担心",-1.0
居里夫人,2446,"比埃尔气馁到 这种地步,是否因为他的力量已将用尽?也许他得了某种可怕的 不治之症?而玛丽自己能否克服她的极端疲乏?几个月以来,死 亡这个念头就在这个妇人周围徘徊,困扰着她",-1.0
居里夫人,2447,"比埃尔! 这个学者吃了一惊,转向玛丽;玛丽痛苦地喊他,她的声音象 是有人掐住了她的咽喉",-1.0
居里夫人,2450,"他对玛丽痉挛着的忧伤的脸凝视片刻,然后坚定地回答说: 你错了",-1.0
居里夫人,2454,"因此,我们看到比埃尔和玛丽在困苦的年月中作出灿烂的工 作,是不必惊讶的",-1.0
居里夫人,2501,"总之,镭的放射是传染的象强烈的气味或疾病一样地 传染!若把一件东西、一种植物、一个动物或一个人放在装镭的玻 璃管旁边,一定立刻得到一种可以看得出来的活动",-1.0
居里夫人,2525,"亨利 柏克勒尔把一个装着镭的玻璃管放在背心口袋里,也 受了伤,不过这并非有心!他又惊奇又愤怒,跑到居里夫妇那里 去诉说他们的可怕孩子的功绩",-1.0
居里夫人,2575,"三个穿大礼服的主考人坐在一张橡木长桌后面,轮流问这个 应试者一些问题",-1.0
居里夫人,2577,"玛 丽用柔和的声音回答问题,有时候拿起粉笔在黑板上画出一种仪 器的图形,或写出一种基本公式的符号",-1.0
居里夫人,2600,"为了要尽到良心上的责任,比埃尔强调说: 我也这样想但是我不愿意我们这样轻率地作出决定: 我们的生活很困难,而且恐怕永远是困难的",-1.25
居里夫人,2603,"有了它,我们一定可以过得舒服,可以去 掉辛苦的工作 他还微笑地提到他唯一不忍放弃的东西: 我们还能有一个好实验室",-1.0
居里夫人,2606,"再说,镭将在治疗疾病上有大 用处我觉得似乎不能借此求利",-1.0
居里夫人,2614,"布发罗自然科学学会赠我一本记述制镭业在美国发 展的情况的出版物,作为纪念;里面附有照相复制的比埃尔 居 里从前详尽地答复美国工程师所提问题的信件(1902年及19C3 年)",-1.0
居里夫人,2616,他们已经在贫苦和财富之间作了永久的选择,-1.0
居里夫人,2700,"这些话由一个刚刚自愿放弃财富的妇人写出来,是有特殊价 值的",-1.0
居里夫人,2725,", 我不愿意写这些事,因为我知道这种喧嚣只给我的父母带来 烦恼",-1.0
居里夫人,2745,"没有声音,周围只是 一片深沉而忧郁的寂静,城市的喧嚣到不了这里",-1.0
居里夫人,2755,"这个学者,这个教师,除了关心他的工作和他的家庭感情 之外,只挂虑一件事:他希望他的学生们和将来要从事艰苦科学 工作的青年,在他们奋勉前进的时候,不受到令人遗憾的物质生活 问题的阻碍",-0.2
居里夫人,2756,"他忘记了自己的痛苦,忘记了他和居里夫人的共同 努力;他的心里只想着一件事:也许在法国某处有值得注意的研究 者,有不知名的天才,这些人为了谋取每日生活所需,不得不放弃 他们的研究工作,因此什么事都作不出来 居里先生对我说到这一点时的那种含有热烈感情的声调,我 不能真正令人信服地表达出来",-0.3333
居里夫人,2761,"玛丽写给约瑟夫 斯可罗多夫斯基的信上说: 我们近来有一件大不幸的事:用镭作一种细致实验的时候, 我们丢失了很大一部分存镭,而我们至今还不知道这次灾难的起 因",-1.0
居里夫人,2763,我们两个人都很沮丧,-1.5
居里夫人,2764,""" 在另外一封信里,她又谈到这个唯一使她忧虑的东西镭",-1.0
居里夫人,2765,"1903年12月23日,玛丽写给约瑟夫 斯可罗多夫斯基的信 上 说 : 我们有可能大量制成这种麻烦的物质了,这是需要矿 物和钱的",-1.0
居里夫人,2768,"你不知道由几吨材 料里提出极少量的镭,须用去多少时间、耐性和金钱! 这是玛丽在得到诺贝尔奖金之后十三天的忧虑",-1.0
居里夫人,2779,"1902年3月20日,比埃尔 居里写给乔治 古依的信 上 说 : 您可以看出来我们现在正在走好运,但是好运气总带 来无限烦恼",-1.0
居里夫人,2787,人们正在尽力阻碍我们工作,-1.0
居里夫人,2795,"打破我们自愿的离群索居,真使我们痛苦;给我们的 影响无异于一场灾难",-1.0
居里夫人,2800,这两 个学者因此觉得很伤心,-1.5
居里夫人,2806,"除了热心工作和恐怕荒废时间之外,还有别的原因使居里夫 妇厌恶荣誉",-1.0
居里夫人,2811,"但是 玛丽一生逃避旁人的赞羡表示,并不是因为她要仿效比埃尔,也不 是因为她要服从他的意旨",-1.0
居里夫人,2813,"她在群众面前,总有一种难以抑制的羞怯,总有一种痛苦的烦 乱,使她僵住,甚至于使她眩晕,并且觉得身体不舒服",-1.0
居里夫人,2815,"居里夫 人同时有自己的研究、家庭、母职和教职,她担负着这全副重担,象 个走钢丝艺人那样在她那艰难的路途上迈步向前",-1.0
居里夫人,2826,"她一天一天地越来越收敛光彩,越退避,越隐姓 埋名,以逃避那些要把她拉上台的人,以避免成为明星若是成 了那种角色,她会自己都认不出来了",-1.0
居里夫人,2827,"以后许多年中,每逢不认识 的人到她面前坚持地问:您是居里夫人吗?她便压住微微的惊 悸,强作镇定地用平淡的声调回答说:不是你认错了. 象她的丈夫一样,她在钦佩她的人们面前,或是在当时的权贵 面前(这些人此刻把她奉若君主),只显出惊讶、疲乏,掩饰得不大 好的不耐烦尤其是显出厌倦,一种痛苦而且难堪的厌倦,当那 些讨厌的人乱谈她的发现和天才的时候,这种厌倦使她十分沮丧",-0.36
居里夫人,2833,"居里夫妇现在有一个新的理由要过野人生活,他们要逃避 好奇的人们",-1.0
居里夫人,2839,"这个妇人抬起头来,她那灰色眼睛注视着这个闯来的人 他立刻看出她和报纸上登出的成百成千张相片一样,这就是她! 这个记者惊愕了一会,就在她旁边坐下,掏出他的记事本, 她知道逃避是不可能的了,就忍耐着用很短的句子答复访问 者的问题",-1.0
居里夫人,2849,"庆祝镭和诺贝尔奖金的喧哗,使她生气,一时一刻也没有使她 放下对比埃尔的病的忧虑;这种忧虑破坏了她的生活",-1.0
居里夫人,2850,"1905年1月31日比埃尔 居里写给乔治 古依的信上说: 现在我的风湿症对我尚无大碍,但是去年夏天发作来势很 猛,我只得放弃瑞典之行",-1.0
居里夫人,2856,"我的病痛似乎是起于一种神经衰弱,而不是真正的风湿症, 自从我的饮食比较合宜并且服用士的宁以来,渐渐好多了",-1.0
居里夫人,2864,"她骑车的时候 总是穿男孩衣服,样子很好笑 比埃尔因为身体上的病痛,感觉到一种重大威胁,每每为时间 消逝而不安",-1.0
居里夫人,2868,她过去的命运比他的艰苦,-1.0
居里夫人,2881,"她感到气馁,责备自己在智力方面无能,责备自己蠢笨",-1.0
居里夫人,2890,"除了她的丈夫,她不 爱任何东西:不爱生活,不爱科学,甚至于也不爱将生的小孩;而她 的丈夫的健康无时无刻不使她忧虑",-1.0
居里夫人,2892,"221. 她不断地重复说:我为什么又要送一个生命到世上来?人生 太艰苦,太乏味",-1.0
居里夫人,2893,我们不应该使无辜的生灵受这种折磨 分娩很痛苦而且时间很长,-1.25
居里夫人,2897,她外表的镇静和通情达理的性 格稍为驱散了玛丽的忧郁,-1.0
居里夫人,2904,"她动摇了一些时候,现在恢复了她的坚定步伐,又走上了 艰苦的途程",-1.0
居里夫人,2908,"1905年3月23日,玛丽写给约瑟夫 斯可罗多夫斯基的信 上 说 : 我知道你在希望这个痛苦的灾难能给我们的国家带来一些 好处;布罗妮雅和卡西密尔也是这样想",-0.3333
居里夫人,2933,"1905年7月24日比埃尔 居里写给乔治 古依的信上说: 我和我的妻子刚到瑞典去了一次,这次旅行很合我们的 意,我们毫无忧虑,而且得到了休息",-1.0
居里夫人,2957,"牟内-绪利,本名让 绪利 牟内(18411916),法国悲剧演员",-1.0
居里夫人,2961,"比埃尔和玛丽看过这种戏之后,回来总是很满意的, 而且总要忧郁好几天!居里大夫以含着讥嘲的微笑迎接他们,这 个信仰伏尔泰哲学的老人,不喜欢病态的东西;他那碧蓝色的眼 睛注视着他们的难过面色,并且没有一次不说: 不要忘了你们是到那里消遣去的! 居里夫妇的科学的好奇心,加上一种对于神秘事物的爱好,在 这个时期把他们引上一条奇怪的路;他们参加那个著名的通灵者 欧萨比亚 巴拉的诺组织的招魂会",-0.375
居里夫人,2969,"过了几 年,玛丽完全放弃了对于这些现象的研究",-1.0
居里夫人,2970,"居里夫妇逃避各种招待会,社交场上看不见他们;但是他们不 能永远躲过正式晚筵和招待外国学者的大宴会",-1.0
居里夫人,2980,惋惜和悲伤的阴 影掠过这个着迷于科学的人底脸,-1.0
居里夫人,3004,"玛丽坐在 树荫下,靠近艾芙的小车,手里拿着针线活;但是她的缝制和补缀 工作并不妨碍她注意全部谈话,这种谈话在别的妇人听来,简直比 用中国话讨论问题还要深奥得多",-1.0
居里夫人,3006,"要解释这个问 题,必须放弃加尔诺原理,能量不灭说,或元素不灭说",-1.0
居里夫人,3013,"这些不平凡的交谈有时也夹杂着一些充满人情味的话语:居 里大夫与德比尔纳和郎之万谈政治,余班很友善地嘲笑玛丽,批评 她那过分朴素的衣服,责备她轻视打扮,于是这个年轻的妇人便惊 讶地听着这种突如其来的教训",-1.0
居里夫人,3059,"住处若与实验室距离很远,我的妻子的生活不免太艰苦,有时候她 的体力就不能胜任她的双重职责. 巴黎城外的平静生活,很有利于科学研究,所以把实验室移到 郊外,实是有益无损",-1.0
居里夫人,3098,"而在学者聚会的时候, 玛丽通常很少说话,若是偶尔热烈地参加讨论科学上的某一问题, 常会忽然脸红,惶恐地住了口,转向她的丈夫,让他说话;她深信比 埃尔的意见比她自己的要宝贵一千倍",-1.0
居里夫人,3152,"左边的后轮碰到一个不结实的障碍, 一转就把它 压碎了",-1.0
居里夫人,3174,"这个年事高迈的老人听着他们叙述这件不幸的事,枯皱悲戚 的脸上老泪纵横",-1.0
居里夫人,3175,"他的泪不只表示悲哀,同时也表示反抗",-1.0
居里夫人,3176,"居里 大夫亲切而又极其绝望地责怪儿子太不留心而丧了命,他一个劲 儿地反复说一句很痛心的责备话: 他当时在梦想什么? 到了六点钟,锁孔里有钥匙转动的声音,玛丽出现在客厅门 口,愉快而且活泼",-1.4
居里夫人,3186,"居 里夫人在四月的那一天,不只成了孀妇,同时还成了一个无法救治 的孤独可怜的妇人",-1.0
居里夫人,3187,目睹这个悲剧的人感觉到在她与他们之间的那层看不见的 墙壁,-1.0
居里夫人,3196,"安德烈 德比尔纳曾到警察 分局去运回他那谊兼师友的人的遗体,此刻又是他抬着这副悲哀 的重担",-1.0
居里夫人,3208,"在这几页到 处涂改、渍满泪痕、而且只能发表几段的文字中,她对比埃尔说话, 呼唤他,并且问他问题",-1.0
